,order_id,product_id,order_item_cnt
0,R12345,P0,1
1,R12346,P1,1
2,R12347,P2,5
3,R12348,P3,1
4,R12349,P4,1
5,R12350,P5,1
6,R12351,P6,1
7,R12352,P7,5
8,R12353,P8,5
9,R12354,P0,1
10,R12355,P1,4
11,R12356,P2,4
12,R12357,P3,1
13,R12358,P4,1
14,R12359,P5,4
15,R12360,P6,1
16,R12361,P7,1
17,R12362,P8,5
18,R12363,P0,1
19,R12364,P1,1
20,R12365,P2,5
21,R12366,P3,1
22,R12367,P4,4
23,R12368,P5,4
24,R12369,P6,1
25,R12370,P7,4
26,R12371,P8,1
27,R12372,P0,1
28,R12373,P1,1
29,R12374,P2,1
30,R12375,P3,1
31,R12376,P4,1
32,R12377,P5,4
33,R12378,P6,4
34,R12379,P7,4
35,R12380,P8,1
36,R12381,P0,5
37,R12382,P1,4
38,R12383,P2,1
39,R12384,P3,5
40,R12385,P4,5
41,R12386,P5,5
42,R12387,P6,5
43,R12388,P7,4
44,R12389,P8,4
45,R12390,P0,1
46,R12391,P1,1
47,R12392,P2,4
48,R12393,P3,5
49,R12394,P4,1
50,R12395,P5,1
51,R12396,P6,5
52,R12397,P7,4
53,R12398,P8,1
54,R12399,P0,1
55,R12400,P1,1
56,R12401,P2,4
57,R12402,P3,1
58,R12403,P4,1
59,R12404,P5,1
60,R12405,P6,5
61,R12406,P7,1
62,R12407,P8,5
63,R12408,P0,1
64,R12409,P1,1
65,R12410,P2,1
66,R12411,P3,1
67,R12412,P4,1
68,R12413,P5,1
69,R12414,P6,1
70,R12415,P7,4
71,R12416,P8,1
72,R12417,P0,4
73,R12418,P1,5
74,R12419,P2,4
75,R12420,P3,1
76,R12421,P4,4
77,R12422,P5,4
78,R12423,P6,5
79,R12424,P7,1
80,R12425,P8,1
81,R12426,P0,1
82,R12427,P1,5
83,R12428,P2,1
84,R12429,P3,1
85,R12430,P4,4
86,R12431,P5,1
87,R12432,P6,1
88,R12433,P7,1
89,R12434,P8,5
90,R12435,P0,1
91,R12436,P1,1
92,R12437,P2,1
93,R12438,P3,4
94,R12439,P4,4
95,R12441,P6,5
96,R12442,P7,1
97,R12443,P8,1
98,R12444,P0,1
99,R12445,P1,5
100,R12446,P2,1
101,R12447,P3,5
