product_id,product_name,product_description,product_price,product_count,avg_deliver,cumulative_sales,category_id
P0,Car Media Players,Car media players for in-car entertainment.,140,1863,5.557575758,1272,C0
P1,Car Speakers,Speakers for your car audio system.,211,1991,5.452121212,3670,C0
P2,Car Body Covers,Covers to protect your car body from dust and scratches.,117,2040,5.60653753,3259,C0
P3,Car & Bike Care,Products for cleaning and maintaining your car and bike.,118,1939,5.52905569,5597,C0
P4,Tyre,Tires for cars.,250,2010,5.311235955,7715,C0
P5,Bike Tyres,Tires for bikes.,72,1911,5.36,1482,C0
P6,Car Mat,Mats to protect the floor of your car.,54,1915,5.633939394,8705,C0
P7,Car Seat Covers,Covers to protect your car seats from wear and tear.,114,1896,5.469770254,1569,C0
P8,Car Pillow & Neck Rest,Pillows and neck rests for added comfort during car rides.,231,2012,5.536231884,5572,C0
P9,Shirts,Various styles of shirts for men and women.,196,6012,4.951114923,9398,C1
P10,Jeans,Different types of jeans for men and women.,218,5946,5.058747856,9217,C1
P11,Suits,Elegant suits for formal occasions.,109,5996,5.064751286,1983,C1
P12,Sports Wear,Sportswear for various outdoor activities.,85,6093,4.936078936,6088,C1
P13,Casula Shoes,Comfortable and stylish casual shoes for everyday wear.,122,6035,5.041184041,3043,C1
P14,Running Shoes,Running shoes designed for jogging and running activities.,224,6064,5.015015015,9456,C1
P15,Formal Shoes,Formal shoes suitable for business and formal events.,213,6154,5.081939082,8213,C1
P16,Sneakers,Trendy sneakers for casual and athletic wear.,62,6049,5.103818104,4017,C1
P17,Titak watch,High-quality watches from the Titan brand.,228,6254,4.930930931,5826,C1
P18,Fossil Watch,Classic and stylish watches from the Fossil brand.,159,6050,4.939536878,2863,C1
P19,T - Shirts,Comfortable T-shirts in various designs and colors.,248,5986,5.038164666,5281,C1
P20,Samsung Mobile,Mobile phones from the Samsung brand.,220,501,5.389140271,4659,C2
P21,Watch,Wristwatches for men and women.,104,498,5.398190045,3474,C2
P22,Fans,Fans to keep your room cool during hot days.,149,523,5.393665158,8853,C2
P23,Iron,Irons for ironing clothes.,222,469,5.330316742,2229,C2
P24,Tablet,Tablets for entertainment and productivity on the go.,199,490,5.303167421,4505,C2
P25,Mouse,Computer mice for navigation and control.,111,479,5.2760181,8369,C2
P26,Keyboard,Keyboards for typing on computers.,33,487,5.488687783,2779,C2
P27,Apple Laptop,Laptops from the Apple brand.,250,492,5.683257919,8386,C2
P28,Mixer/Juicer,Appliances for mixing and juicing.,83,482,5.21875,2182,C2
P29,LED,LED lights for energy-efficient lighting.,192,450,5.375,9728,C2
P30,LCD,LCD screens for display purposes.,65,499,5.379464286,8238,C2
P31,Speakers,Speakers for audio output from various devices.,130,581,5.590038314,7148,C2
P32,Sofa Covers,Covers to protect your sofas from stains and spills.,216,3852,5.536062378,8665,C3
P33,Bed Sheets,Bed sheets for comfortable sleeping.,211,3819,5.650876055,8721,C3
P34,Curtains,Curtains for window decoration and privacy.,34,3818,5.609993511,2717,C3
P35,Towels,Soft and absorbent towels for drying.,228,3781,5.484750162,3700,C3
P36,Sofas,Comfortable sofas for your living room.,67,3778,5.4461738,6377,C3
P37,Beds,Beds for a good night's sleep.,78,3908,5.489623865,8088,C3
P38,Dinning Tables,Tables for dining purposes.,119,3874,5.455901427,1345,C3
P39,Shoe Rack,Racks to organize and store your shoes.,124,3827,5.518158236,7967,C3
P40,Umbrellas,Umbrellas for protection against rain and sun.,70,3693,5.470817121,9541,C3
P41,Dinner Crockery,Crockery for serving dinner and meals.,133,3840,5.466794381,1186,C3
